vlname;netwadd;mask;gw;range_start;range_end;broadcast;wildcard
330;10.0.8.32;255.255.255.240;10.0.8.33/28;10.0.8.33;10.0.8.46;10.0.8.47;0.0.0.15
331;10.0.8.48;255.255.255.240;10.0.8.49/28;10.0.8.49;10.0.8.62;10.0.8.63;0.0.0.15
332;10.0.8.64;255.255.255.240;10.0.8.65/28;10.0.8.65;10.0.8.78;10.0.8.79;0.0.0.15
333;10.0.8.80;255.255.255.240;10.0.8.81/28;10.0.8.81;10.0.8.94;10.0.8.95;0.0.0.15
334;10.0.8.96;255.255.255.240;10.0.8.97/28;10.0.8.97;10.0.8.110;10.0.8.111;0.0.0.15
335;10.0.8.112;255.255.255.240;10.0.8.113/28;10.0.8.113;10.0.8.126;10.0.8.127;0.0.0.15
336;10.0.8.128;255.255.255.240;10.0.8.129/28;10.0.8.129;10.0.8.142;10.0.8.143;0.0.0.15
337;10.0.8.144;255.255.255.240;10.0.8.145/28;10.0.8.145;10.0.8.158;10.0.8.159;0.0.0.15
338;10.0.8.160;255.255.255.240;10.0.8.161/28;10.0.8.161;10.0.8.174;10.0.8.175;0.0.0.15
339;10.0.8.176;255.255.255.240;10.0.8.177/28;10.0.8.177;10.0.8.190;10.0.8.191;0.0.0.15
340;10.0.8.192;255.255.255.240;10.0.8.193/28;10.0.8.193;10.0.8.206;10.0.8.207;0.0.0.15
341;10.0.8.208;255.255.255.240;10.0.8.209/28;10.0.8.209;10.0.8.222;10.0.8.223;0.0.0.15
342;10.0.8.224;255.255.255.240;10.0.8.225/28;10.0.8.225;10.0.8.238;10.0.8.239;0.0.0.15
343;10.0.8.240;255.255.255.240;10.0.8.241/28;10.0.8.241;10.0.8.254;10.0.8.255;0.0.0.15
344;10.0.9.0;255.255.255.240;10.0.9.1/28;10.0.9.1;10.0.9.14;10.0.9.15;0.0.0.15
345;10.0.9.16;255.255.255.240;10.0.9.17/28;10.0.9.17;10.0.9.30;10.0.9.31;0.0.0.15
346;10.0.9.32;255.255.255.240;10.0.9.33/28;10.0.9.33;10.0.9.46;10.0.9.47;0.0.0.15
347;10.0.9.48;255.255.255.240;10.0.9.49/28;10.0.9.49;10.0.9.62;10.0.9.63;0.0.0.15
348;10.0.9.64;255.255.255.240;10.0.9.65/28;10.0.9.65;10.0.9.78;10.0.9.79;0.0.0.15
349;10.0.9.80;255.255.255.240;10.0.9.81/28;10.0.9.81;10.0.9.94;10.0.9.95;0.0.0.15
350;10.0.9.96;255.255.255.240;10.0.9.97/28;10.0.9.97;10.0.9.110;10.0.9.111;0.0.0.15
351;10.0.9.112;255.255.255.240;10.0.9.113/28;10.0.9.113;10.0.9.126;10.0.9.127;0.0.0.15
352;10.0.9.128;255.255.255.240;10.0.9.129/28;10.0.9.129;10.0.9.142;10.0.9.143;0.0.0.15
353;10.0.9.144;255.255.255.240;10.0.9.145/28;10.0.9.145;10.0.9.158;10.0.9.159;0.0.0.15
354;10.0.9.160;255.255.255.240;10.0.9.161/28;10.0.9.161;10.0.9.174;10.0.9.175;0.0.0.15
355;10.0.9.176;255.255.255.240;10.0.9.177/28;10.0.9.177;10.0.9.190;10.0.9.191;0.0.0.15
356;10.0.9.192;255.255.255.240;10.0.9.193/28;10.0.9.193;10.0.9.206;10.0.9.207;0.0.0.15
357;10.0.9.208;255.255.255.240;10.0.9.209/28;10.0.9.209;10.0.9.222;10.0.9.223;0.0.0.15
358;10.0.9.224;255.255.255.240;10.0.9.225/28;10.0.9.225;10.0.9.238;10.0.9.239;0.0.0.15
359;10.0.9.240;255.255.255.240;10.0.9.241/28;10.0.9.241;10.0.9.254;10.0.9.255;0.0.0.15
360;10.0.10.0;255.255.255.240;10.0.10.1/28;10.0.10.1;10.0.10.14;10.0.10.15;0.0.0.15
361;10.0.10.16;255.255.255.240;10.0.10.17/28;10.0.10.17;10.0.10.30;10.0.10.31;0.0.0.15
